index_date,index_place,index_product,index_value,base_volume,base_amount,base_trades
2018-01-30,DAL,DTL,0.0,0,0,0
2018-01-30,DAL,DTM,0.0,0,0,0
2018-01-30,DAL,DTZ,46911.0,3585,168178690,37
2018-01-30,DAL,MZT,14157.0,3055,43249765,38
2018-01-30,DAL,PRM,40928.0,1260,51569880,15
2018-01-30,DAL,REG,40512.0,3540,143414700,36
2018-01-30,DAL,TRD,44331.0,1625,72038135,18
2018-01-30,EVR,DTL,40885.0,1300,53150700,7
2018-01-30,EVR,DTM,39716.0,7825,310781605,76
2018-01-30,EVR,DTZ,43453.0,8430,366316495,73
2018-01-30,EVR,MZT,11273.0,3705,41766595,37
2018-01-30,EVR,PRM,39863.0,7080,282230940,74
2018-01-30,EVR,REG,39008.0,19140,746621640,183
2018-01-30,EVR,SUG,17909.0,1374,24607375,38
2018-01-30,EVR,TRD,41361.0,2810,116225360,26
2018-01-30,SIB,DTL,40289.0,2220,89442320,15
2018-01-30,SIB,DTM,0.0,0,0,0
2018-01-30,SIB,DTZ,45234.0,6750,305330860,62
2018-01-30,SIB,MZT,12641.0,3640,46016165,45
2018-01-30,SIB,PRM,39489.0,3060,120836880,38
2018-01-30,SIB,REG,39012.0,6060,236413320,61
2018-01-30,SIB,SUG,16606.0,1388,23050085,31
2018-01-30,SIB,TRD,42894.0,2140,91794505,23
2018-01-31,DAL,DTL,0.0,0,0,0
2018-01-31,DAL,DTM,0.0,0,0,0
2018-01-31,DAL,DTZ,46565.0,2615,121767820,28
2018-01-31,DAL,MZT,14072.0,2405,33845175,32
2018-01-31,DAL,PRM,40504.0,1260,51035940,16
2018-01-31,DAL,REG,39948.0,3240,129432120,29
2018-01-31,DAL,TRD,43477.0,2015,87607000,23
2018-01-31,EVR,DTL,41005.0,900,36904500,7
2018-01-31,EVR,DTM,39559.0,8185,323796430,70
2018-01-31,EVR,DTZ,43203.0,7210,311499290,62
2018-01-31,EVR,MZT,11198.0,2990,33482410,34
2018-01-31,EVR,PRM,39711.0,8400,333576960,83
2018-01-31,EVR,REG,39112.0,14100,551485020,135
2018-01-31,EVR,SUG,17880.0,1299,23226697,28
2018-01-31,EVR,TRD,41223.0,4185,172521250,22
2018-01-31,SIB,DTL,40407.0,1760,71116800,15
2018-01-31,SIB,DTM,0.0,0,0,0
2018-01-31,SIB,DTZ,44686.0,5795,258961160,53
2018-01-31,SIB,MZT,11775.0,2470,29086525,33
2018-01-31,SIB,PRM,39084.0,4020,157118760,46
2018-01-31,SIB,REG,38425.0,7080,272049840,69
2018-01-31,SIB,SUG,16524.0,1479,24439572,28
2018-01-31,SIB,TRD,42379.0,2530,107221000,25
2018-02-01,DAL,DTL,0.0,0,0,0
2018-02-01,DAL,DTM,0.0,0,0,0
2018-02-01,DAL,DTZ,46299.0,3315,153483330,41
2018-02-01,DAL,MZT,13127.0,1300,17065620,18
2018-02-01,DAL,PRM,40782.0,1140,46492440,16
2018-02-01,DAL,REG,40271.0,2640,106317780,28
2018-02-01,DAL,TRD,44012.0,1885,82962750,18
2018-02-01,EVR,DTL,40188.0,1300,52245000,7
2018-02-01,EVR,DTM,39585.0,5560,220093845,65
2018-02-01,EVR,DTZ,42613.0,6175,263141190,63
2018-02-01,EVR,MZT,11274.0,3055,34444605,38
2018-02-01,EVR,PRM,39762.0,8160,324462960,85
2018-02-01,EVR,REG,39389.0,12665,498870780,110
2018-02-01,EVR,SUG,18253.0,846,15442750,19
2018-02-01,EVR,TRD,40989.0,1805,73985700,19
2018-02-01,SIB,DTL,40683.0,1445,58787195,11
2018-02-01,SIB,DTM,0.0,0,0,0
2018-02-01,SIB,DTZ,44802.0,5265,235884545,57
2018-02-01,SIB,MZT,11446.0,1625,18600400,23
2018-02-01,SIB,PRM,39262.0,4620,181393260,55
2018-02-01,SIB,REG,38813.0,5165,200472840,46
2018-02-01,SIB,SUG,16656.0,1262,21020170,23
2018-02-01,SIB,TRD,43032.0,1945,83697865,20
2018-02-02,DAL,DTL,0.0,0,0,0
2018-02-02,DAL,DTM,0.0,0,0,0
2018-02-02,DAL,DTZ,46154.0,3250,150001410,41
2018-02-02,DAL,MZT,10738.0,4030,43274400,24
2018-02-02,DAL,PRM,40381.0,1080,43612320,16
2018-02-02,DAL,REG,40448.0,2340,94648860,24
2018-02-02,DAL,TRD,43316.0,2015,87283625,20
2018-02-02,EVR,DTL,41054.0,700,28738100,6
2018-02-02,EVR,DTM,39453.0,5960,235143855,56
2018-02-02,EVR,DTZ,42450.0,7410,314554630,69
2018-02-02,EVR,MZT,11619.0,3185,37009505,37
2018-02-02,EVR,PRM,39885.0,7140,284781060,76
2018-02-02,EVR,REG,39203.0,11460,449271300,115
2018-02-02,EVR,SUG,18676.0,847,15818750,23
2018-02-02,EVR,TRD,40904.0,1868,76409415,23
2018-02-02,SIB,DTL,41182.0,1315,54154625,13
2018-02-02,SIB,DTM,0.0,0,0,0
2018-02-02,SIB,DTZ,44805.0,5655,253373640,59
2018-02-02,SIB,MZT,10543.0,4355,45918145,29
2018-02-02,SIB,PRM,39245.0,3720,145991520,48
2018-02-02,SIB,REG,38728.0,5040,195193440,49
2018-02-02,SIB,SUG,16802.0,1213,20381720,25
2018-02-02,SIB,TRD,42495.0,2075,88177625,20
2018-02-05,DAL,DTL,0.0,0,0,0
2018-02-05,DAL,DTM,0.0,0,0,0
2018-02-05,DAL,DTZ,45824.0,3315,151907275,34
2018-02-05,DAL,MZT,15314.0,2600,39817050,33
2018-02-05,DAL,PRM,40738.0,1080,43998000,13
2018-02-05,DAL,REG,40789.0,2580,105237180,34
2018-02-05,DAL,TRD,42568.0,1950,83009160,17
2018-02-05,EVR,DTL,40300.0,500,20150000,3
2018-02-05,EVR,DTM,39460.0,6200,244657750,74
2018-02-05,EVR,DTZ,42475.0,8060,342351165,66
2018-02-05,EVR,MZT,11465.0,2860,32791785,33
2018-02-05,EVR,PRM,39497.0,6780,267790560,69
2018-02-05,EVR,REG,38984.0,11520,449100780,114
2018-02-05,EVR,SUG,18409.0,837,15408900,23
2018-02-05,EVR,TRD,40740.0,2065,84128800,17
2018-02-05,SIB,DTL,40514.0,1380,55910500,14
2018-02-05,SIB,DTM,0.0,0,0,0
2018-02-05,SIB,DTZ,44215.0,5395,238543305,42
2018-02-05,SIB,MZT,10944.0,1430,15651025,17
2018-02-05,SIB,PRM,38886.0,3480,135326520,41
2018-02-05,SIB,REG,38645.0,4920,190134120,51
2018-02-05,SIB,SUG,16899.0,1324,22375582,32
2018-02-05,SIB,TRD,41726.0,2205,92007410,20
2018-02-06,DAL,DTL,0.0,0,0,0
2018-02-06,DAL,DTM,0.0,0,0,0
2018-02-06,DAL,DTZ,45592.0,4095,186702880,46
2018-02-06,DAL,MZT,10982.0,2145,23556715,15
2018-02-06,DAL,PRM,40893.0,1140,46618500,15
2018-02-06,DAL,REG,40952.0,2940,120400260,32
2018-02-06,DAL,TRD,42436.0,1625,68958500,19
2018-02-06,EVR,DTL,40978.0,700,28684900,7
2018-02-06,EVR,DTM,39622.0,6155,243873920,72
2018-02-06,EVR,DTZ,42702.0,6305,269241050,58
2018-02-06,EVR,MZT,11547.0,2730,31523440,36
2018-02-06,EVR,PRM,39958.0,6060,242150760,70
2018-02-06,EVR,REG,39202.0,11225,440047360,118
2018-02-06,EVR,SUG,18652.0,953,17775400,23
